"","word","freq"
"330684","I can do",23
"336626","I think its",23
"338026","I wonder if",23
"356068","in the th",23
"370295","is like a",23
"373753","is trying to",23
"381091","it was the",23
"500655","of the night",23
"531948","over the past",23
"558774","president of the",23
"573343","ready for the",23
"676740","that will be",23
"681833","the bottom of",23
"707249","the same thing",23
"731020","This is not",23
"745290","to come back",23
"745762","to create a",23
"746560","to do that",23
"748267","to get in",23
"756843","to take the",23
"782507","up with the",23
"814417","what I was",23
"829566","wish I could",23
"13126","a piece of",22
"42627","am going to",22
"55462","and I love",22
"67104","and will be",22
"82055","as far as",22
"82666","as it is",22
"144217","Cant wait for",22
"254762","for the last",22
"255087","for the rest",22
"273257","get to the",22
"302091","have to say",22
"305434","He said he",22
"336681","I think that",22
"341781","If you want",22
"346653","in a statement",22
"354940","in the early",22
"354968","in the end",22
"355998","in the state",22
"356157","in the United",22
"372862","is that the",22
"378158","It is the",22
"393276","just want to",22
"408880","Let me know",22
"453820","more than million",22
"500208","of the house",22
"531999","over the years",22
"587070","right now I",22
"668919","Thanks so much",22
"681382","the block of",22
"683320","the chance to",22
"685194","the cost of",22
"697166","the majority of",22
"699987","the New York",22
"714866","the White House",22
"744635","to buy a",22
"748195","to get back",22
"748320","to get out",22
"751785","to meet you",22
"765447","top of the",22
"781594","up on the",22
"794635","want to do",22
"805505","We need to",22
"850656","you are a",22
"851453","you can see",22
"10664","a matter of",21
"10780","a member of",21
"19271","a variety of",21
"37019","all of you",21
"54616","and he was",21
"75852","are in the",21
"83495","as soon as",21
"100241","based on the",21
"104941","Be sure to",21
"132812","but it is",21
"137696","by the end",21
"173995","could have been",21
"197534","director of the",21
"201668","do you have",21
"205201","dont know if",21
"332934","I had the",21
"334395","I love it",21
"341585","if you can",21
"343822","Im not sure",21
"346756","in a way",21
"346767","in a while",21
"352168","in New Jersey",21
"354737","in the city",21
"355221","in the house",21
"367106","is a very",21
"373039","is the first",21
"378042","it is not",21
"501525","of the week",21
"513139","on the floor",21
"516516","one of our",21
"632470","Some of the",21
"677024","that you can",21
"703828","the power of",21
"706834","the s and",21
"709616","the St Louis",21
"731077","this is the",21
"745321","to come out",21
"746549","to do so",21
"750456","to keep the",21
"794661","want to get",21
"794856","want you to",21
"811273","went to the",21
"814599","what it is",21
"853784","you know what",21
"7000","a good idea",20
"65025","and there are",20
"104063","be on the",20
"108413","been able to",20
"109920","beep beep beep",20
"132425","but I have",20
"185596","day of the",20
"201669","Do you have",20
"272828","get rid of",20
"291240","had no idea",20
"292860","half of the",20
"294955","Happy Mothers Day",20
"331854","I dont like",20
"332893","I had no",20
"336613","I think Im",20
"336752","I thought I",20
"336927","I try to",20
"354477","in the air",20
"355106","in the future",20
"377746","it in the",20
"380354","it to be",20
"398340","know if you",20
"398959","know what you",20
"469506","need to do",20
"514245","on to the",20
"525800","other side of",20
"530217","out to the",20
"547835","place in the",20
"668632","Thanks for following",20
"672446","that is the",20
"677054","that you have",20
"689013","the face of",20
"695403","the lack of",20
"695718","the last years",20
"698818","the most important",20
"701634","the other day",20
"722534","There will be",20
"748355","to get some",20
"753229","to pick up",20
